product_id,product_name,category,subcategory,model_code,capacity,variant,mapping_confidence,docx_verification
PROD-001,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1001T80207S,1KVA/0.8KW,,unverified,excel_only_no_docx_table
PROD-001,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1002T80407S,2KVA/1.6KW,,unverified,excel_only_no_docx_table
PROD-001,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1003T80607S,3KVA/2.4KW,,unverified,excel_only_no_docx_table
PROD-001,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1006T91607S,6KVA/5.4KW,,unverified,excel_only_no_docx_table
PROD-001,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1010T91607S,10KVA/9KW,,unverified,excel_only_no_docx_table
PROD-002,T-4001 Single Phase (1-10kVA),UPS Solutions,On-line high frequency,OH1001T80300S,1KVA/0.8KW,,unverified,excel_only_no_docx_table
PROD-002,T-4001 Single Phase (1-10kVA),UPS Solutions,On-line high frequency,OH1001T80600S,2KVA/1.6KW,,unverified,excel_only_no_docx_table
PROD-002,T-4001 Single Phase (1-10kVA),UPS Solutions,On-line high frequency,OH1003T80800S,3KVA/2.4KW,,unverified,excel_only_no_docx_table
PROD-002,T-4001 Single Phase (1-10kVA),UPS Solutions,On-line high frequency,OH1006T91600S,6KVA/5.4KW,,unverified,excel_only_no_docx_table
PROD-002,T-4001 Single Phase (1-10kVA),UPS Solutions,On-line high frequency,OH1010T91600S,10KVA/9KW,,unverified,excel_only_no_docx_table
PROD-003,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1001T10207S,1KVA/1KW,,unverified,excel_only_no_docx_table
PROD-003,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1001T10209S,1KVA/1KW,,unverified,excel_only_no_docx_table
PROD-003,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1002T10407S,2KVA/2KW,,unverified,excel_only_no_docx_table
PROD-003,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1002T10409S,2KVA/2KW,,unverified,excel_only_no_docx_table
PROD-003,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1003T10607S,3KVA/3KW,,unverified,excel_only_no_docx_table
PROD-003,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1003T10609S,3KVA/3KW,,unverified,excel_only_no_docx_table
PROD-003,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1006T11607S,6KVA/6KW,,unverified,excel_only_no_docx_table
PROD-003,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1006T11609S,6KVA/6KW,,unverified,excel_only_no_docx_table
PROD-003,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1010T11607S,10KVA/10KW,,unverified,excel_only_no_docx_table
PROD-003,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1010T11609S,10KVA/10KW,,unverified,excel_only_no_docx_table
PROD-004,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1001T10300S,1KVA/1KW,,unverified,excel_only_no_docx_table
PROD-004,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1002T10600S,2KVA/2KW,,unverified,excel_only_no_docx_table
PROD-004,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1003T10800S,3KVA/3KW,,unverified,excel_only_no_docx_table
PROD-004,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1006T11600S,6KVA/6KW,,unverified,excel_only_no_docx_table
PROD-004,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1006T12000S,6KVA/6KW,,unverified,excel_only_no_docx_table
PROD-004,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1010T11600S,10KVA/10KW,,unverified,excel_only_no_docx_table
PROD-004,T-4001 Single Phase (1-10KVA),UPS Solutions,On-line high frequency,OH1010T12000S,10KVA/10KW,,unverified,excel_only_no_docx_table
PROD-005,T-4001 Single Phase (6-10kVA),UPS Solutions,On-line high frequency,OH1006T91507S,6kVA/5.4kW,,unverified,excel_only_no_docx_table
PROD-005,T-4001 Single Phase (6-10kVA),UPS Solutions,On-line high frequency,OH1006T91600S,6kVA/5.4kW,,unverified,excel_only_no_docx_table
PROD-005,T-4001 Single Phase (6-10kVA),UPS Solutions,On-line high frequency,OH1010T91607S,10kVA/9kW,,unverified,excel_only_no_docx_table
