product_id,product_name,category,subcategory,model_code,capacity,variant,mapping_confidence,resolution_method
PROD-001,"T-7401 TL 1-1, Without battery (1.2-2.4K)",Inverter Solutions,Power Inverter Series,IH11X2T60100S,,,verified,source_1to1
PROD-001,"T-7401 TL 1-1, Without battery (1.2-2.4K)",Inverter Solutions,Power Inverter Series,IH12X4T60200S,,,verified,source_1to1
PROD-002,T-7000 (1-12kW),Inverter Solutions,Long Back-up Inverters,(not listed in source),1-12KVA,,range_from_name,product_name
PROD-003,T-7002 (1.2W and 2.4W),Inverter Solutions,Long Back-up Inverters,(not listed in source),,,range_from_name,product_name
PROD-004,T-7001 (1-6kW),Inverter Solutions,Solar Hybrid Inverters,(not listed in source),1-6KVA,,range_from_name,product_name
PROD-005,"T-7101 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),1KVA,,capacity_only,capacity_list
PROD-005,"T-7101 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),1.5KVA,,capacity_only,capacity_list
PROD-005,"T-7101 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),2KVA,,capacity_only,capacity_list
PROD-005,"T-7101 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),3KVA,,capacity_only,capacity_list
PROD-005,"T-7101 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),5KVA,,capacity_only,capacity_list
PROD-006,"T-7201 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),1KVA,,capacity_only,capacity_list
PROD-006,"T-7201 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),1.5KVA,,capacity_only,capacity_list
PROD-006,"T-7201 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),2KVA,,capacity_only,capacity_list
PROD-006,"T-7201 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),3KVA,,capacity_only,capacity_list
PROD-006,"T-7201 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),5KVA,,capacity_only,capacity_list
PROD-007,"T-7501 TL 1-1, Without battery (1.2-2.4K)",Inverter Solutions,Inverter Solutions,IH11X2T60100S,,,verified,source_1to1
PROD-007,"T-7501 TL 1-1, Without battery (1.2-2.4K)",Inverter Solutions,Inverter Solutions,IH12X4T60200S,,,verified,source_1to1
PROD-008,"T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC)",Inverter Solutions,Inverter Solutions,IH1X50R80400T,0.5KVA,,verified,source_1to1
PROD-008,"T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC)",Inverter Solutions,Inverter Solutions,IH1001R80400T,1KVA,,verified,source_1to1
PROD-008,"T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC)",Inverter Solutions,Inverter Solutions,IH1002R80400T,2KVA,,verified,source_1to1
PROD-008,"T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC)",Inverter Solutions,Inverter Solutions,IH1003R80400T,3KVA,,verified,source_1to1
PROD-008,"T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC)",Inverter Solutions,Inverter Solutions,IH1004R80400T,4KVA,,verified,source_1to1
PROD-009,AVR-1000 Single Phase (10-100kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),10KVA,,capacity_only,capacity_list
PROD-009,AVR-1000 Single Phase (10-100kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),20KVA,,capacity_only,capacity_list
PROD-009,AVR-1000 Single Phase (10-100kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),30KVA,,capacity_only,capacity_list
PROD-009,AVR-1000 Single Phase (10-100kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),50KVA,,capacity_only,capacity_list
PROD-009,AVR-1000 Single Phase (10-100kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),80KVA,,capacity_only,capacity_list
PROD-009,AVR-1000 Single Phase (10-100kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),100KVA,,capacity_only,capacity_list
PROD-010,AVR-1000 Three Phase (10-3000kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),10KVA,,capacity_only,capacity_list
PROD-010,AVR-1000 Three Phase (10-3000kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),3000KVA,,capacity_only,capacity_list
PROD-011,AVR-1001 Single Phase (1-50kVA),Automatic Voltage Regulators,AVR-1001 (Static Control),(model code not listed),1KVA,,capacity_only,capacity_list
PROD-011,AVR-1001 Single Phase (1-50kVA),Automatic Voltage Regulators,AVR-1001 (Static Control),(model code not listed),50KVA,,capacity_only,capacity_list
PROD-012,AVR-1001 Three Phase (10-2000kVA),Automatic Voltage Regulators,AVR-1001 (Static Control),(model code not listed),10KVA,,capacity_only,capacity_list
PROD-012,AVR-1001 Three Phase (10-2000kVA),Automatic Voltage Regulators,AVR-1001 (Static Control),(model code not listed),2000KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),1KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),2KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),3KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),5KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),7.5KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),10KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),15KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),20KVA,,capacity_only,capacity_list
PROD-014,AVR-1001 Servo 1-Phase (1-10k),Automatic Voltage Regulators,AVR-1001 (Servo Control),R100123223S,1KVA,,verified,source_1to1
PROD-014,AVR-1001 Servo 1-Phase (1-10k),Automatic Voltage Regulators,AVR-1001 (Servo Control),R100223223S,2KVA,,verified,source_1to1
PROD-014,AVR-1001 Servo 1-Phase (1-10k),Automatic Voltage Regulators,AVR-1001 (Servo Control),R100323223S,3KVA,,verified,source_1to1
PROD-014,AVR-1001 Servo 1-Phase (1-10k),Automatic Voltage Regulators,AVR-1001 (Servo Control),R100523223S,5KVA,,verified,source_1to1
PROD-014,AVR-1001 Servo 1-Phase (1-10k),Automatic Voltage Regulators,AVR-1001 (Servo Control),R101023223S,10KVA,,verified,source_1to1
PROD-015,AVR-1001 Servo 1-Phase (20-30KVA),Automatic Voltage Regulators,AVR-1001 (Servo Control),R102023223S,20KVA,,verified,source_1to1
PROD-015,AVR-1001 Servo 1-Phase (20-30KVA),Automatic Voltage Regulators,AVR-1001 (Servo Control),R103023223S,30KVA,,verified,source_1to1
PROD-016,AVR-1002 Servo 3-Phase (100-3000KVA),Automatic Voltage Regulators,AVR-1002 (Servo Control),R310040240S,1000KVA,,verified,source_1to1
PROD-016,AVR-1002 Servo 3-Phase (100-3000KVA),Automatic Voltage Regulators,AVR-1002 (Servo Control),R312540240S,1250KVA,,verified,source_1to1
PROD-016,AVR-1002 Servo 3-Phase (100-3000KVA),Automatic Voltage Regulators,AVR-1002 (Servo Control),R315040240S,1500KVA,,verified,source_1to1
